Table;Table Name;Administrative Unit;Administrative Unit Name;Administrative Unit - RegionId;Scale;2013;2014;2015;2016;2017;2018;2019;2020
T3;Gross County Product (GCP) 2013-2020, in Current Prices KSh million;C23;Kiambu;KE-200-KI;units;288907;326154;379163;416982;457309;485980;532498;553312
T3;Gross County Product (GCP) 2013-2020, in Current Prices KSh million;C24;Turkana;KE-700-TU;units;49299;54544;66403;69000;75379;90657;102987;109101
T3;Gross County Product (GCP) 2013-2020, in Current Prices KSh million;C25;West Pokot;KE-700-WP;units;31709;37854;44695;51967;52618;59617;68726;80546
T3;Gross County Product (GCP) 2013-2020, in Current Prices KSh million;C26;Samburu;KE-700-SA;units;13325;14199;18241;20885;21670;24177;28158;29211
T3;Gross County Product (GCP) 2013-2020, in Current Prices KSh million;C27;Trans-Nzoia;KE-700-TN;units;75679;87050;97577;104333;121646;144331;151566;165121
T3;Gross County Product (GCP) 2013-2020, in Current Prices KSh million;C28;Uasin-Gishu;KE-700-UG;units;120604;135456;149902;165347;188441;204757;224099;228846
T3;Gross County Product (GCP) 2013-2020, in Current Prices KSh million;C29;Elgeyo-Marakwet;KE-700-EM;units;36579;45062;46129;57669;70844;88863;104844;117047
T3;Gross County Product (GCP) 2013-2020, in Current Prices KSh million;C30;Nandi;KE-700-NN;units;77281;82247;97175;107066;123863;137891;140534;150753
T3;Gross County Product (GCP) 2013-2020, in Current Prices KSh million;C31;Baringo;KE-700-BA;units;35852;42040;47684;51259;59403;61894;71544;76636
T3;Gross County Product (GCP) 2013-2020, in Current Prices KSh million;C32;Laikipia;KE-700-LA;units;41503;47212;57265;67338;72070;80913;88501;94810
T3;Gross County Product (GCP) 2013-2020, in Current Prices KSh million;C33;Nakuru;KE-700-NA;units;221472;276385;321433;365966;381200;411565;461636;480539
T3;Gross County Product (GCP) 2013-2020, in Current Prices KSh million;C34;Narok;KE-700-NK;units;77146;83271;97661;110535;132231;144118;156813;166662
T3;Gross County Product (GCP) 2013-2020, in Current Prices KSh million;C35;Kajiado;KE-700-KA;units;75124;84306;93363;107862;113464;129862;143199;150413
T3;Gross County Product (GCP) 2013-2020, in Current Prices KSh million;C36;Kericho;KE-700-KR;units;85265;90931;107483;113543;134951;145575;152420;164714
T3;Gross County Product (GCP) 2013-2020, in Current Prices KSh million;C37;Bomet;KE-700-BO;units;64268;67305;85548;100542;120512;133969;137691;152744
T3;Gross County Product (GCP) 2013-2020, in Current Prices KSh million;C38;Kakamega;KE-800-KA;units;105821;119890;134493;153745;172060;186943;203904;214068
T3;Gross County Product (GCP) 2013-2020, in Current Prices KSh million;C39;Vihiga;KE-800-VI;units;37657;42181;47227;54045;59954;68644;78080;85407
T3;Gross County Product (GCP) 2013-2020, in Current Prices KSh million;C40;Bungoma;KE-800-BU;units;99597;118448;126232;137028;163810;177336;193711;206705
T3;Gross County Product (GCP) 2013-2020, in Current Prices KSh million;C41;Busia;KE-800-BS;units;40108;46062;51610;57251;64007;71210;83280;90817
T3;Gross County Product (GCP) 2013-2020, in Current Prices KSh million;C42;Siaya;KE-600-SI;units;47453;55842;64904;66795;78069;88306;99092;106259
T3;Gross County Product (GCP) 2013-2020, in Current Prices KSh million;C43;Kisumu;KE-600-KI;units;130396;144502;162500;173966;196956;218443;238564;249440
T3;Gross County Product (GCP) 2013-2020, in Current Prices KSh million;C44;Homa-Bay;KE-600-HB;units;61948;70995;76973;82914;95138;107041;115057;122198
T3;Gross County Product (GCP) 2013-2020, in Current Prices KSh million;C45;Migori;KE-600-MI;units;61138;71001;75724;77859;96610;104271;114770;121106
T3;Gross County Product (GCP) 2013-2020, in Current Prices KSh million;C46;Kisii;KE-600-KK;units;92408;106980;124285;140528;165092;171748;185041;199333
T3;Gross County Product (GCP) 2013-2020, in Current Prices KSh million;C47;Nyamira;KE-600-NN;units;51086;54626;65889;75371;87429;100846;108286;118792
T3;Gross County Product (GCP) 2013-2020, in Current Prices KSh million;C48;Nairobi;KE-110-NA;units;1328511;1508534;1733377;1913903;2136097;2362505;2586926;2669829
